Date : 2026-01-29 23:56:07
Directory : /Users/bespin-starter/Documents/personal_projects/BesPick
Total : 150 files,  40002 codes, 34 comments, 2553 blanks, all 42589 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         82 |     20,581 |         18 |      1,290 |     21,889 |
| TypeScript         |         56 |     12,077 |          9 |      1,043 |     13,129 |
| JSON               |          2 |      6,479 |          0 |          2 |      6,481 |
| Markdown           |          3 |        598 |          0 |        184 |        782 |
| PostCSS            |          1 |        163 |          0 |         17 |        180 |
| Shell Script       |          1 |         46 |          1 |         10 |         57 |
| JSON with Comments |          1 |         34 |          0 |          1 |         35 |
| JavaScript         |          4 |         24 |          6 |          6 |         36 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                        |        150 |     40,002 |         34 |      2,553 |     42,589 |
| . (Files)                                                                                                                                                |          3 |        598 |          0 |        184 |        782 |
| bespick                                                                                                                                                  |        147 |     39,404 |         34 |      2,369 |     41,807 |
| bespick (Files)                                                                                                                                          |          7 |      6,613 |          2 |         21 |      6,636 |
| bespick/public                                                                                                                                           |          2 |          2 |          5 |          1 |          8 |
| bespick/public/vendor                                                                                                                                    |          2 |          2 |          5 |          1 |          8 |
| bespick/scripts                                                                                                                                          |          1 |         46 |          1 |         10 |         57 |
| bespick/src                                                                                                                                              |        137 |     32,743 |         26 |      2,337 |     35,106 |
| bespick/src (Files)                                                                                                                                      |          1 |         30 |          5 |          8 |         43 |
| bespick/src/app                                                                                                                                          |         65 |      9,501 |          2 |        697 |     10,200 |
| bespick/src/app (Files)                                                                                                                                  |          2 |        283 |          0 |         22 |        305 |
| bespick/src/app/(landing)                                                                                                                                |          1 |        130 |          0 |          7 |        137 |
| bespick/src/app/(tools)                                                                                                                                  |         49 |      8,450 |          1 |        592 |      9,043 |
| bespick/src/app/(tools) (Files)                                                                                                                          |          1 |         24 |          0 |          5 |         29 |
| bespick/src/app/(tools)/admin                                                                                                                            |          6 |      1,060 |          0 |         92 |      1,152 |
| bespick/src/app/(tools)/admin/settings                                                                                                                   |          6 |      1,060 |          0 |         92 |      1,152 |
| bespick/src/app/(tools)/admin/settings (Files)                                                                                                           |          1 |         75 |          0 |          8 |         83 |
| bespick/src/app/(tools)/admin/settings/_components                                                                                                       |          5 |        985 |          0 |         84 |      1,069 |
| bespick/src/app/(tools)/games                                                                                                                            |          1 |         25 |          0 |          3 |         28 |
| bespick/src/app/(tools)/hosthub                                                                                                                          |         22 |      4,274 |          0 |        255 |      4,529 |
| bespick/src/app/(tools)/hosthub (Files)                                                                                                                  |          1 |        372 |          0 |         16 |        388 |
| bespick/src/app/(tools)/hosthub/_components                                                                                                              |          4 |        613 |          0 |         38 |        651 |
| bespick/src/app/(tools)/hosthub/calendar                                                                                                                 |         11 |      2,044 |          0 |        115 |      2,159 |
| bespick/src/app/(tools)/hosthub/calendar (Files)                                                                                                         |          1 |        114 |          0 |          5 |        119 |
| bespick/src/app/(tools)/hosthub/calendar/_components                                                                                                     |         10 |      1,930 |          0 |        110 |      2,040 |
| bespick/src/app/(tools)/hosthub/docs                                                                                                                     |          1 |        340 |          0 |         15 |        355 |
| bespick/src/app/(tools)/hosthub/schedule                                                                                                                 |          5 |        905 |          0 |         71 |        976 |
| bespick/src/app/(tools)/hosthub/schedule (Files)                                                                                                         |          1 |         73 |          0 |          8 |         81 |
| bespick/src/app/(tools)/hosthub/schedule/_components                                                                                                     |          4 |        832 |          0 |         63 |        895 |
| bespick/src/app/(tools)/morale                                                                                                                           |         19 |      3,067 |          1 |        237 |      3,305 |
| bespick/src/app/(tools)/morale (Files)                                                                                                                   |          2 |        247 |          0 |         27 |        274 |
| bespick/src/app/(tools)/morale/_components                                                                                                               |          8 |        903 |          0 |         54 |        957 |
| bespick/src/app/(tools)/morale/_hooks                                                                                                                    |          2 |         51 |          0 |         12 |         63 |
| bespick/src/app/(tools)/morale/admin                                                                                                                     |          5 |      1,622 |          1 |        122 |      1,745 |
| bespick/src/app/(tools)/morale/admin/create                                                                                                              |          1 |         31 |          0 |          4 |         35 |
| bespick/src/app/(tools)/morale/admin/roster                                                                                                              |          3 |      1,412 |          1 |         95 |      1,508 |
| bespick/src/app/(tools)/morale/admin/roster (Files)                                                                                                      |          1 |        418 |          0 |         29 |        447 |
| bespick/src/app/(tools)/morale/admin/roster/_components                                                                                                  |          2 |        994 |          1 |         66 |      1,061 |
| bespick/src/app/(tools)/morale/admin/scheduled                                                                                                           |          1 |        179 |          0 |         23 |        202 |
| bespick/src/app/(tools)/morale/archive                                                                                                                   |          1 |        182 |          0 |         16 |        198 |
| bespick/src/app/(tools)/morale/boost                                                                                                                     |          1 |         62 |          0 |          6 |         68 |
| bespick/src/app/api                                                                                                                                      |         10 |        556 |          1 |         64 |        621 |
| bespick/src/app/api/admin                                                                                                                                |          1 |         77 |          0 |          4 |         81 |
| bespick/src/app/api/admin/users                                                                                                                          |          1 |         77 |          0 |          4 |         81 |
| bespick/src/app/api/clerk                                                                                                                                |          1 |         56 |          0 |         11 |         67 |
| bespick/src/app/api/clerk/webhook                                                                                                                        |          1 |         56 |          0 |         11 |         67 |
| bespick/src/app/api/cron                                                                                                                                 |          1 |         44 |          0 |          6 |         50 |
| bespick/src/app/api/cron/hosthub-shift-reminders                                                                                                         |          1 |         44 |          0 |          6 |         50 |
| bespick/src/app/api/hosthub                                                                                                                              |          1 |         47 |          0 |          6 |         53 |
| bespick/src/app/api/hosthub/demo-day-history                                                                                                             |          1 |         47 |          0 |          6 |         53 |
| bespick/src/app/api/paypal                                                                                                                               |          2 |        139 |          0 |         19 |        158 |
| bespick/src/app/api/paypal/capture-order                                                                                                                 |          1 |         52 |          0 |          7 |         59 |
| bespick/src/app/api/paypal/create-order                                                                                                                  |          1 |         87 |          0 |         12 |         99 |
| bespick/src/app/api/rpc                                                                                                                                  |          1 |         37 |          0 |          3 |         40 |
| bespick/src/app/api/storage                                                                                                                              |          2 |         74 |          0 |          6 |         80 |
| bespick/src/app/api/storage/image                                                                                                                        |          1 |         44 |          0 |          4 |         48 |
| bespick/src/app/api/storage/image/[id]                                                                                                                   |          1 |         44 |          0 |          4 |         48 |
| bespick/src/app/api/storage/upload                                                                                                                       |          1 |         30 |          0 |          2 |         32 |
| bespick/src/app/api/stream                                                                                                                               |          1 |         82 |          1 |          9 |         92 |
| bespick/src/app/domain-restricted                                                                                                                        |          1 |         28 |          0 |          4 |         32 |
| bespick/src/app/sign-in                                                                                                                                  |          1 |         27 |          0 |          4 |         31 |
| bespick/src/app/sign-in/[[...sign-in]]                                                                                                                   |          1 |         27 |          0 |          4 |         31 |
| bespick/src/app/sign-up                                                                                                                                  |          1 |         27 |          0 |          4 |         31 |
| bespick/src/app/sign-up/[[...sign-up]]                                                                                                                   |          1 |         27 |          0 |          4 |         31 |
| bespick/src/components                                                                                                                                   |         36 |     12,235 |         17 |        723 |     12,975 |
| bespick/src/components/admin                                                                                                                             |         15 |      4,939 |          2 |        298 |      5,239 |
| bespick/src/components/admin (Files)                                                                                                                     |          2 |      2,491 |          1 |        172 |      2,664 |
| bespick/src/components/admin/announcement-form                                                                                                           |         13 |      2,448 |          1 |        126 |      2,575 |
| bespick/src/components/admin/announcement-form (Files)                                                                                                   |          2 |         82 |          0 |         10 |         92 |
| bespick/src/components/admin/announcement-form/sections                                                                                                  |         11 |      2,366 |          1 |        116 |      2,483 |
| bespick/src/components/admin/announcement-form/sections (Files)                                                                                          |         10 |      2,277 |          1 |        112 |      2,390 |
| bespick/src/components/admin/announcement-form/sections/form-builder                                                                                     |          1 |         89 |          0 |          4 |         93 |
| bespick/src/components/announcements                                                                                                                     |          1 |        144 |          2 |          9 |        155 |
| bespick/src/components/auth                                                                                                                              |          1 |         78 |          0 |          6 |         84 |
| bespick/src/components/boost                                                                                                                             |          1 |        498 |          2 |         32 |        532 |
| bespick/src/components/forms                                                                                                                             |          2 |      1,549 |          2 |         72 |      1,623 |
| bespick/src/components/fundraiser                                                                                                                        |          1 |        669 |          2 |         33 |        704 |
| bespick/src/components/giveaway                                                                                                                          |          1 |        768 |          2 |         38 |        808 |
| bespick/src/components/header                                                                                                                            |          6 |      1,035 |          2 |         66 |      1,103 |
| bespick/src/components/landing                                                                                                                           |          3 |        307 |          0 |         36 |        343 |
| bespick/src/components/metadata                                                                                                                          |          1 |         29 |          0 |          7 |         36 |
| bespick/src/components/payments                                                                                                                          |          1 |        141 |          0 |         12 |        153 |
| bespick/src/components/poll                                                                                                                              |          1 |        574 |          3 |         30 |        607 |
| bespick/src/components/voting                                                                                                                            |          2 |      1,504 |          0 |         84 |      1,588 |
| bespick/src/lib                                                                                                                                          |         11 |        667 |          1 |         91 |        759 |
| bespick/src/server                                                                                                                                       |         22 |     10,128 |          1 |        798 |     10,927 |
| bespick/src/server (Files)                                                                                                                               |          3 |        257 |          0 |         19 |        276 |
| bespick/src/server/actions                                                                                                                               |          7 |      1,716 |          0 |        143 |      1,859 |
| bespick/src/server/auth                                                                                                                                  |          1 |         11 |          0 |          2 |         13 |
| bespick/src/server/db                                                                                                                                    |          2 |        971 |          0 |         34 |      1,005 |
| bespick/src/server/integrations                                                                                                                          |          1 |        117 |          0 |         15 |        132 |
| bespick/src/server/payments                                                                                                                              |          1 |        131 |          0 |         22 |        153 |
| bespick/src/server/security                                                                                                                              |          1 |         14 |          0 |          1 |         15 |
| bespick/src/server/services                                                                                                                              |          6 |      6,911 |          1 |        562 |      7,474 |
| bespick/src/types                                                                                                                                        |          2 |        182 |          0 |         20 |        202 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                 | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/bespin-starter/Documents/personal_projects/BesPick/CHANGELOG.md                                                                                   | Markdown           |         39 |          0 |         24 |         63 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/README.md                                                                                      | Markdown           |        516 |          0 |        146 |        662 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/SITE_BRIEF.md                                                                                  | Markdown           |         43 |          0 |         14 |         57 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/eslint.config.mjs                                                                      | JavaScript         |         16 |          1 |          3 |         20 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/middleware.ts                                                                          | TypeScript         |         69 |          0 |         10 |         79 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/next.config.ts                                                                         | TypeScript         |          9 |          1 |          3 |         13 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/package-lock.json                                                                      | JSON               |      6,427 |          0 |          1 |      6,428 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/package.json                                                                           | JSON               |         52 |          0 |          1 |         53 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/postcss.config.mjs                                                                     | JavaScript         |          6 |          0 |          2 |          8 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/public/vendor/three.r134.min.js                                                        | JavaScript         |          1 |          5 |          1 |          7 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/public/vendor/vanta.net.min.js                                                         | JavaScript         |          1 |          0 |          0 |          1 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/scripts/deploy.sh                                                                      | Shell Script       |         46 |          1 |         10 |         57 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/(landing)/page.tsx                                                             | TypeScript JSX     |        130 |          0 |          7 |        137 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/(tools)/admin/settings/_components/mattermost-notifications-card.tsx           | TypeScript JSX     |        147 |          0 |         13 |        160 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/(tools)/admin/settings/_components/mattermost-test-card.tsx                    | TypeScript JSX     |        134 |          0 |         14 |        148 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/(tools)/admin/settings/_components/metadata-options-card.tsx                   | TypeScript JSX     |        471 |          0 |         31 |        502 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/(tools)/admin/settings/_components/profile-warning-card.tsx                    | TypeScript JSX     |         85 |          0 |         11 |         96 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/(tools)/admin/settings/_components/warning-banner-card.tsx                     | TypeScript JSX     |        148 |          0 |         15 |        163 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/(tools)/admin/settings/page.tsx                                                | TypeScript JSX     |         75 |          0 |          8 |         83 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/(tools)/games/page.tsx                                                         | TypeScript JSX     |         25 |          0 |          3 |         28 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/(tools)/hosthub/_components/hosthub-auto-refresh.tsx                           | TypeScript JSX     |         16 |          0 |          5 |         21 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/(tools)/hosthub/_components/my-schedule-list.tsx                               | TypeScript JSX     |        351 |          0 |         21 |        372 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/(tools)/hosthub/_components/shift-details-modal.tsx                            | TypeScript JSX     |        216 |          0 |          8 |        224 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/(tools)/hosthub/_components/types.ts                                           | TypeScript         |         30 |          0 |          4 |         34 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/(tools)/hosthub/calendar/_components/building-892-panel.tsx                    | TypeScript JSX     |        179 |          0 |          8 |        187 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/(tools)/hosthub/calendar/_components/calendar-constants.ts                     | TypeScript         |         30 |          0 |          7 |         37 |
| /Users/bespin-starter/Documents/personal_projects/BesPick/bespick/src/app/(tools)/hosthub/calendar/_components/calendar-grid.tsx                         | TypeScript JSX     |        218 |          0 |          7 |        225 |
